poll_id,state,abbr,d_candidate,r_candidate,d_pct,r_pct,undi_pct,n,pollster,grade,partisan,date_start,date_end,methodology,note
BT22_NH_02,New Hampshire,NH,Maggie Hassan,Don Bolduc,50,43,7,601,University of New Hampshire,2.6,False,2022-10-26,2022-10-28,Live phone,
BT22_NH_03,New Hampshire,NH,Maggie Hassan,Don Bolduc,51,42,7,1000,Emerson College,2.2,False,2022-11-03,2022-11-04,IVR/Online,
BT22_NV_01,Nevada,NV,Catherine Cortez Masto,Adam Laxalt,46,47,7,1100,CBS News/YouGov,2.5,False,2022-11-01,2022-11-02,Online,
BT22_NV_02,Nevada,NV,Catherine Cortez Masto,Adam Laxalt,44,47,9,1000,Emerson College,2.2,False,2022-11-04,2022-11-05,IVR/Online,
BT22_NV_03,Nevada,NV,Catherine Cortez Masto,Adam Laxalt,45,46,9,900,Fox News,2.3,False,2022-10-31,2022-11-01,Live phone,
BT22_NV_04,Nevada,NV,Catherine Cortez Masto,Adam Laxalt,46,45,9,617,Quinnipiac University,2.7,False,2022-10-26,2022-10-27,Live phone,
BT22_OH_01,Ohio,OH,Tim Ryan,JD Vance,44,49,7,1157,CBS News/YouGov,2.5,False,2022-11-01,2022-11-02,Online,
BT22_OH_02,Ohio,OH,Tim Ryan,JD Vance,44,49,7,1000,Emerson College,2.2,False,2022-11-04,2022-11-05,IVR/Online,
BT22_OH_03,Ohio,OH,Tim Ryan,JD Vance,43,48,9,1035,Fox News,2.3,False,2022-10-31,2022-11-01,Live phone,
BT22_OH_04,Ohio,OH,Tim Ryan,JD Vance,42,50,8,620,Quinnipiac University,2.7,False,2022-11-04,2022-11-05,Live phone,
BT22_PA_01,Pennsylvania,PA,John Fetterman,Mehmet Oz,48,43,9,1109,NBC News/Marist,2.8,False,2022-11-01,2022-11-01,Live phone,
BT22_PA_02,Pennsylvania,PA,John Fetterman,Mehmet Oz,48,43,9,978,Quinnipiac University,2.7,False,2022-11-05,2022-11-06,Live phone,
BT22_PA_03,Pennsylvania,PA,John Fetterman,Mehmet Oz,48,43,9,1000,Emerson College,2.2,False,2022-11-03,2022-11-04,IVR/Online,
BT22_PA_04,Pennsylvania,PA,John Fetterman,Mehmet Oz,47,44,9,1092,CBS News/YouGov,2.5,False,2022-11-01,2022-11-02,Online,
BT22_PA_05,Pennsylvania,PA,John Fetterman,Mehmet Oz,47,43,10,1001,Fox News,2.3,False,2022-10-31,2022-11-01,Live phone,
BT22_WI_01,Wisconsin,WI,Mandela Barnes,Ron Johnson,45,47,8,800,Emerson College,2.2,False,2022-11-04,2022-11-05,IVR/Online,
BT22_WI_02,Wisconsin,WI,Mandela Barnes,Ron Johnson,45,46,9,812,CBS News/YouGov,2.5,False,2022-11-01,2022-11-02,Online,
BT22_WI_03,Wisconsin,WI,Mandela Barnes,Ron Johnson,44,47,9,802,Fox News,2.3,False,2022-10-31,2022-11-01,Live phone,
BT22_WI_04,Wisconsin,WI,Mandela Barnes,Ron Johnson,44,47,9,800,Marquette Law School,2.8,False,2022-11-01,2022-11-02,Live phone,
